|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  1157.67        2565.08        3259.54       0.381388E-004  0.108966E-005   1237.62        6.52906        3.13646      -0.120887E+008
  1174.68        2565.08        3257.42       0.383221E-004  0.109458E-005   1240.56        6.51925        3.13174      -0.120676E+008
  1191.69        2565.08        3255.29       0.385065E-004  0.109956E-005   1243.43        6.50939        3.12701      -0.120465E+008
  1208.71        2565.08        3253.15       0.386921E-004  0.110460E-005   1246.23        6.49950        3.12226      -0.120253E+008
  1225.72        2565.08        3251.01       0.388790E-004  0.110969E-005   1248.97        6.48957        3.11749      -0.120041E+008
  1242.73        2565.08        3248.85       0.390672E-004  0.111483E-005   1251.65        6.47960        3.11270      -0.119828E+008
  1259.74        2565.08        3246.69       0.392567E-004  0.112004E-005   1254.27        6.46960        3.10789      -0.119615E+008
  1276.76        2565.08        3244.52       0.394477E-004  0.112530E-005   1256.83        6.45955        3.10307      -0.119401E+008
  1293.77        2565.08        3242.34       0.396401E-004  0.113062E-005   1259.34        6.44947        3.09822      -0.119187E+008
  1310.78        2565.08        3240.14       0.398341E-004  0.113600E-005   1261.79        6.43935        3.09336      -0.118973E+008
  1327.79        2565.08        3237.94       0.400297E-004  0.114144E-005   1264.20        6.42919        3.08848      -0.118758E+008
  1344.81        2565.08        3235.73       0.402269E-004  0.114694E-005   1266.55        6.41899        3.08358      -0.118543E+008
  1361.82        2565.08        3233.51       0.404258E-004  0.115250E-005   1268.85        6.40875        3.07866      -0.118327E+008
  1378.83        2565.08        3231.29       0.406264E-004  0.115813E-005   1271.11        6.39847        3.07373      -0.118111E+008
  1395.85        2565.08        3229.05       0.408288E-004  0.116383E-005   1273.32        6.38816        3.06877      -0.117895E+008
  1412.86        2565.08        3226.80       0.410331E-004  0.116959E-005   1275.48        6.37780        3.06380      -0.117678E+008
  1429.87        2565.08        3224.54       0.412393E-004  0.117541E-005   1277.61        6.36741        3.05880      -0.117461E+008
  1446.88        2565.08        3222.28       0.414474E-004  0.118131E-005   1279.69        6.35698        3.05379      -0.117243E+008
  1463.90        2565.08        3220.00       0.416575E-004  0.118728E-005   1281.73        6.34650        3.04876      -0.117025E+008
  1480.91        2565.08        3217.71       0.418697E-004  0.119331E-005   1283.73        6.33599        3.04371      -0.116807E+008
